userName,neg,neu,pos,compound,userImage_x,content_x,score_x,thumbsUpCount_x,reviewCreatedVersion_x,at_x,replyContent_x,repliedAt_x,appVersion_x,bert_star,bert_confidence,userImage_y,content_y,score_y,thumbsUpCount_y,reviewCreatedVersion_y,at_y,replyContent_y,repliedAt_y,appVersion_y,bert_3,vader_3,vader_star,diff
User_10,0.146,0.764,0.09,-0.1546,,"Never using uber again in Europe, thry charged me twice for trips I didn't take, it is not safe to add your credit card, be aware",1,0,,2024-12-18 16:56:33,,,,1.0,0.6840859651565552,,"Never using uber again in Europe, thry charged me twice for trips I didn't take, it is not safe to add your credit card, be aware",1,0,,2024-12-18 16:56:33,,,,neg,neg,1,0.0
User_11,0.0,0.263,0.737,0.4215,,Nice app,5,0,4.556.10005,2024-12-18 16:52:41,,,4.556.10005,4.0,0.4852146506309509,,Nice app,5,0,4.556.10005,2024-12-18 16:52:41,,,4.556.10005,pos,pos,3,1.0
User_12,0.0,1.0,0.0,0.0,,"muita demora para achar uma corrida, e depois de muita demora selecionam um motorista longe e se cancelamos porque vai demorar muito ainda pagamos taxa.",3,0,4.556.10005,2024-12-18 16:44:38,,,4.556.10005,2.0,0.4328937530517578,,"muita demora para achar uma corrida, e depois de muita demora selecionam um motorista longe e se cancelamos porque vai demorar muito ainda pagamos taxa.",3,0,4.556.10005,2024-12-18 16:44:38,,,4.556.10005,neg,neu,3,1.0
User_13,0.109,0.856,0.035,-0.6597,,"It's been 8 months for now & this app is getting worse day by day. 1. When I click on ""call driver"" button, it display error page. WHY? 2. The driver himself is not able to callback due to app issues. 3. Everytime I open app, it asks for phone no. & things(despite of me already being logged in) 4. App hangs multiple times (despite being updated, cache clear, full sim range)",1,0,4.556.10005,2024-12-18 16:44:08,,,4.556.10005,1.0,0.5887930989265442,,"It's been 8 months for now & this app is getting worse day by day. 1. When I click on ""call driver"" button, it display error page. WHY? 2. The driver himself is not able to callback due to app issues. 3. Everytime I open app, it asks for phone no. & things(despite of me already being logged in) 4. App hangs multiple times (despite being updated, cache clear, full sim range)",1,0,4.556.10005,2024-12-18 16:44:08,,,4.556.10005,neg,neg,1,0.0
User_14,0.0,0.484,0.516,0.4939,,Customer care doesn't exist,1,0,4.556.10005,2024-12-18 16:40:33,,,4.556.10005,1.0,0.5373700857162476,,Customer care doesn't exist,1,0,4.556.10005,2024-12-18 16:40:33,,,4.556.10005,neg,pos,3,0.0
User_15,0.297,0.508,0.195,-0.296,,Your location services are horrible please fix it,1,0,4.556.10005,2024-12-18 16:40:30,,,4.556.10005,1.0,0.7301884293556213,,Your location services are horrible please fix it,1,0,4.556.10005,2024-12-18 16:40:30,,,4.556.10005,neg,neg,1,0.0
User_16,0.0,0.0,1.0,0.4404,,Good,5,0,,2024-12-18 16:38:31,,,,4.0,0.49696317315101624,,Good,5,0,,2024-12-18 16:38:31,,,,pos,pos,3,1.0
User_17,0.0,1.0,0.0,0.0,,Very laye and herd settings,2,0,4.556.10005,2024-12-18 16:36:48,,,4.556.10005,4.0,0.42319515347480774,,Very laye and herd settings,2,0,4.556.10005,2024-12-18 16:36:48,,,4.556.10005,pos,neu,3,2.0
User_18,0.0,1.0,0.0,0.0,,"Quote you one price and charge you another (higher) price, for trips booked in advance",1,0,4.556.10005,2024-12-18 16:32:42,,,4.556.10005,5.0,0.2997070252895355,,"Quote you one price and charge you another (higher) price, for trips booked in advance",1,0,4.556.10005,2024-12-18 16:32:42,,,4.556.10005,pos,neu,3,4.0
User_19,0.28,0.72,0.0,-0.9702,,"Today one horrible experience I faced ...I booked one Uber go for one operation patient drop off...but after 20mins waiting driver named Tarun sarker forced me to cancel my ride...I requested him several times telling the condition of my operation patient...he tell rudely ""apni ja paren Amar korun ami jabona"" and forced me to cancel the trip.what type of nonsense behavior is this? I never expect such type of rude behavior from Uber drivers.",1,0,4.556.10005,2024-12-18 16:32:05,,,4.556.10005,1.0,0.9148930907249451,,"Today one horrible experience I faced ...I booked one Uber go for one operation patient drop off...but after 20mins waiting driver named Tarun sarker forced me to cancel my ride...I requested him several times telling the condition of my operation patient...he tell rudely ""apni ja paren Amar korun ami jabona"" and forced me to cancel the trip.what type of nonsense behavior is this? I never expect such type of rude behavior from Uber drivers.",1,0,4.556.10005,2024-12-18 16:32:05,,,4.556.10005,neg,neg,1,0.0
User_20,0.0,1.0,0.0,0.0,,Quick and reliable.,5,0,4.556.10005,2024-12-18 16:29:26,,,4.556.10005,5.0,0.6623110771179199,,Quick and reliable.,5,0,4.556.10005,2024-12-18 16:29:26,,,4.556.10005,pos,neu,3,0.0
User_21,0.0,0.506,0.494,0.5994,,Super rides with reasonable amount,5,0,4.556.10005,2024-12-18 16:26:30,,,4.556.10005,5.0,0.5747868418693542,,Super rides with reasonable amount,5,0,4.556.10005,2024-12-18 16:26:30,,,4.556.10005,pos,pos,3,0.0
User_22,0.0,0.208,0.792,0.5859,,Amazing application,5,0,4.556.10005,2024-12-18 16:25:10,,,4.556.10005,5.0,0.7776769399642944,,Amazing application,5,0,4.556.10005,2024-12-18 16:25:10,,,4.556.10005,pos,pos,3,0.0
User_23,0.0,1.0,0.0,0.0,,Supre app,5,0,,2024-12-18 16:24:43,,,,5.0,0.32518553733825684,,Supre app,5,0,,2024-12-18 16:24:43,,,,pos,neu,3,0.0
User_24,0.0,0.0,1.0,0.4404,,Good,5,0,4.541.10003,2024-12-18 16:19:16,,,4.541.10003,4.0,0.49696317315101624,,Good,5,0,4.541.10003,2024-12-18 16:19:16,,,4.541.10003,pos,pos,3,1.0
User_25,0.0,0.597,0.403,0.4019,,The safest way to travel.,5,0,4.556.10005,2024-12-18 16:15:40,,,4.556.10005,5.0,0.7802855372428894,,The safest way to travel.,5,0,4.556.10005,2024-12-18 16:15:40,,,4.556.10005,pos,pos,3,0.0
User_26,0.0,0.0,1.0,0.5859,,Amazing,5,0,4.556.10005,2024-12-18 16:13:56,,,4.556.10005,5.0,0.8426642417907715,,Amazing,5,0,4.556.10005,2024-12-18 16:13:56,,,4.556.10005,pos,pos,3,0.0
User_27,0.0,0.465,0.535,0.3182,,Prompt and Cool,5,0,4.556.10005,2024-12-18 16:13:13,,,4.556.10005,5.0,0.6074658632278442,,Prompt and Cool,5,0,4.556.10005,2024-12-18 16:13:13,,,4.556.10005,pos,pos,3,0.0
User_28,0.23,0.735,0.035,-0.9605,,"Horrible, bunch of thieves. The fare you see when booking versus the fare you pay is completely different. The drivers make unrequested stops, drive slow, and extend the trip themselves, then the fare increases. I hate using Uber. They are very skelm. The drivers stop to top up on their fuel, and you are charged for the additional time he spent doing that. When I report it with evidence, I am told the trip is not eligible for a discount, and the fare is correct. Pissed off!!!!!",1,0,4.556.10005,2024-12-18 16:09:54,,,4.556.10005,1.0,0.95772784948349,,"Horrible, bunch of thieves. The fare you see when booking versus the fare you pay is completely different. The drivers make unrequested stops, drive slow, and extend the trip themselves, then the fare increases. I hate using Uber. They are very skelm. The drivers stop to top up on their fuel, and you are charged for the additional time he spent doing that. When I report it with evidence, I am told the trip is not eligible for a discount, and the fare is correct. Pissed off!!!!!",1,0,4.556.10005,2024-12-18 16:09:54,,,4.556.10005,neg,neg,1,0.0
User_29,0.0,0.0,1.0,0.6249,,Superb,5,0,4.556.10005,2024-12-18 16:08:21,,,4.556.10005,5.0,0.8140477538108826,,Superb,5,0,4.556.10005,2024-12-18 16:08:21,,,4.556.10005,pos,pos,3,0.0
User_30,0.0,0.256,0.744,0.4404,,Good service,5,0,4.556.10005,2024-12-18 16:07:45,,,4.556.10005,4.0,0.48900556564331055,,Good service,5,0,4.556.10005,2024-12-18 16:07:45,,,4.556.10005,pos,pos,3,1.0
User_31,0.0,0.244,0.756,0.4754,,Very helpful,5,0,4.555.10003,2024-12-18 15:56:03,,,4.555.10003,5.0,0.7025115489959717,,Very helpful,5,0,4.555.10003,2024-12-18 15:56:03,,,4.555.10003,pos,pos,3,0.0
User_32,0.0,0.566,0.434,0.7705,,User friendly. The most important thing is Uber doesn't mess up the map.,4,0,4.550.10001,2024-12-18 15:52:12,,,4.550.10001,4.0,0.5932483077049255,,User friendly. The most important thing is Uber doesn't mess up the map.,4,0,4.550.10001,2024-12-18 15:52:12,,,4.550.10001,pos,pos,3,0.0
User_33,0.0,0.0,1.0,0.6249,,Superb,5,0,4.556.10005,2024-12-18 15:51:20,,,4.556.10005,5.0,0.8140477538108826,,Superb,5,0,4.556.10005,2024-12-18 15:51:20,,,4.556.10005,pos,pos,3,0.0
User_34,0.0,0.256,0.744,0.4404,,Safe app,5,0,4.552.10000,2024-12-18 15:50:35,,,4.552.10000,5.0,0.47944095730781555,,Safe app,5,0,4.552.10000,2024-12-18 15:50:35,,,4.552.10000,pos,pos,3,0.0
User_35,0.0,1.0,0.0,0.0,,Waiting time is too much,1,0,,2024-12-18 15:47:26,,,,2.0,0.46977460384368896,,Waiting time is too much,1,0,,2024-12-18 15:47:26,,,,neg,neu,3,1.0
User_36,0.0,0.0,1.0,0.5859,,Amazing,5,0,4.556.10005,2024-12-18 15:41:01,,,4.556.10005,5.0,0.8426642417907715,,Amazing,5,0,4.556.10005,2024-12-18 15:41:01,,,4.556.10005,pos,pos,3,0.0
User_37,0.132,0.533,0.335,0.4243,,Very good. Especially when no phone number in another country. Gmail also did fine.,5,0,4.556.10005,2024-12-18 15:33:19,,,4.556.10005,4.0,0.5363786220550537,,Very good. Especially when no phone number in another country. Gmail also did fine.,5,0,4.556.10005,2024-12-18 15:33:19,,,4.556.10005,pos,pos,3,1.0
User_38,0.0,0.345,0.655,0.5859,,Amazing Facilities ✌🏻,4,0,4.556.10005,2024-12-18 15:30:24,,,4.556.10005,5.0,0.8561272025108337,,Amazing Facilities ✌🏻,4,0,4.556.10005,2024-12-18 15:30:24,,,4.556.10005,pos,pos,3,1.0
User_39,0.0,0.606,0.394,0.0772,,Number one app,5,0,4.556.10005,2024-12-18 15:29:12,,,4.556.10005,5.0,0.606629490852356,,Number one app,5,0,4.556.10005,2024-12-18 15:29:12,,,4.556.10005,pos,pos,3,0.0
User_40,0.0,0.408,0.592,0.7003,,Good price Easy to use application,5,0,4.556.10005,2024-12-18 15:26:32,,,4.556.10005,4.0,0.5229748487472534,,Good price Easy to use application,5,0,4.556.10005,2024-12-18 15:26:32,,,4.556.10005,pos,pos,3,1.0
User_41,0.0,1.0,0.0,0.0,,Very gud,5,0,4.556.10005,2024-12-18 15:20:24,,,4.556.10005,5.0,0.41000911593437195,,Very gud,5,0,4.556.10005,2024-12-18 15:20:24,,,4.556.10005,pos,neu,3,0.0
User_42,0.0,0.0,1.0,0.4404,,Good,5,0,4.556.10005,2024-12-18 15:19:10,,,4.556.10005,4.0,0.49696317315101624,,Good,5,0,4.556.10005,2024-12-18 15:19:10,,,4.556.10005,pos,pos,3,1.0
User_43,0.0,0.463,0.537,0.5399,,Good app for riding!!,5,0,,2024-12-18 15:16:41,,,,4.0,0.5321730375289917,,Good app for riding!!,5,0,,2024-12-18 15:16:41,,,,pos,pos,3,1.0
User_44,0.0,0.0,1.0,0.4404,,Good,5,0,,2024-12-18 15:13:24,,,,4.0,0.49696317315101624,,Good,5,0,,2024-12-18 15:13:24,,,,pos,pos,3,1.0
User_45,0.278,0.722,0.0,-0.4019,,Fix your gps it's glitching. And it's annoying.,3,0,4.556.10005,2024-12-18 15:10:58,,,4.556.10005,2.0,0.4389339089393616,,Fix your gps it's glitching. And it's annoying.,3,0,4.556.10005,2024-12-18 15:10:58,,,4.556.10005,neg,neg,1,1.0
User_46,0.0,0.238,0.762,0.4927,,Very good,5,0,4.556.10005,2024-12-18 15:07:15,,,4.556.10005,5.0,0.5479443073272705,,Very good,5,0,4.556.10005,2024-12-18 15:07:15,,,4.556.10005,pos,pos,3,0.0
User_47,0.0,0.79,0.21,0.5367,,One of the most convenient user friendly logistics app hats off to the idea,5,0,4.556.10005,2024-12-18 15:01:32,,,4.556.10005,5.0,0.7340032458305359,,One of the most convenient user friendly logistics app hats off to the idea,5,0,4.556.10005,2024-12-18 15:01:32,,,4.556.10005,pos,pos,3,0.0
User_48,0.0,1.0,0.0,0.0,,Satisfly ( Good),5,0,4.556.10005,2024-12-18 15:00:50,,,4.556.10005,4.0,0.5535010695457458,,Satisfly ( Good),5,0,4.556.10005,2024-12-18 15:00:50,,,4.556.10005,pos,neu,3,1.0
User_49,0.182,0.79,0.027,-0.936,,"Met with a potentially fatal accident due to Uber bike driver while I was a pillion on the very ride. The bike driver was likely drunk or on drugs. I have been on months of bed rest with post accident conditions lasting up until now ... entering year 2025 and still grappling with th post accident mental and physical trauma. And yes, not forgetting to mention, the bike driver ran from the spot after ramming the speeding vehicle and leaving me wounded and unconscious. This was in Punjab, India.",1,0,4.526.10000,2024-12-18 15:00:30,,,4.526.10000,1.0,0.5291330218315125,,"Met with a potentially fatal accident due to Uber bike driver while I was a pillion on the very ride. The bike driver was likely drunk or on drugs. I have been on months of bed rest with post accident conditions lasting up until now ... entering year 2025 and still grappling with th post accident mental and physical trauma. And yes, not forgetting to mention, the bike driver ran from the spot after ramming the speeding vehicle and leaving me wounded and unconscious. This was in Punjab, India.",1,0,4.526.10000,2024-12-18 15:00:30,,,4.526.10000,neg,neg,1,0.0
User_50,0.0,0.0,1.0,0.5994,,Super,5,0,4.556.10005,2024-12-18 15:00:01,,,4.556.10005,5.0,0.7829088568687439,,Super,5,0,4.556.10005,2024-12-18 15:00:01,,,4.556.10005,pos,pos,3,0.0
User_51,0.0,1.0,0.0,0.0,,Efficience and seamless,5,0,4.556.10005,2024-12-18 14:56:02,,,4.556.10005,5.0,0.5663594603538513,,Efficience and seamless,5,0,4.556.10005,2024-12-18 14:56:02,,,4.556.10005,pos,neu,3,0.0
User_52,0.0,0.517,0.483,0.5777,,This ap is so good,5,0,4.556.10005,2024-12-18 14:52:26,,,4.556.10005,5.0,0.6907100081443787,,This ap is so good,5,0,4.556.10005,2024-12-18 14:52:26,,,4.556.10005,pos,pos,3,0.0
User_53,0.0,0.196,0.804,0.6249,,great experience,5,0,4.556.10005,2024-12-18 14:43:05,,,4.556.10005,5.0,0.7056822776794434,,great experience,5,0,4.556.10005,2024-12-18 14:43:05,,,4.556.10005,pos,pos,3,0.0
User_54,0.0,0.0,1.0,0.6369,,Best.,5,0,4.556.10005,2024-12-18 14:42:18,,,4.556.10005,5.0,0.6316009163856506,,Best.,5,0,4.556.10005,2024-12-18 14:42:18,,,4.556.10005,pos,pos,3,0.0
User_55,0.0,1.0,0.0,0.0,,Asking extra payment for each trips .,1,0,4.556.10005,2024-12-18 14:42:03,,,4.556.10005,4.0,0.3610740602016449,,Asking extra payment for each trips .,1,0,4.556.10005,2024-12-18 14:42:03,,,4.556.10005,pos,neu,3,3.0
User_56,0.0,0.543,0.457,0.6369,,Best app for all ride services,5,0,4.556.10005,2024-12-18 14:33:48,,,4.556.10005,5.0,0.8930700421333313,,Best app for all ride services,5,0,4.556.10005,2024-12-18 14:33:48,,,4.556.10005,pos,pos,3,0.0
User_57,0.0,0.76,0.24,0.5758,,first time journey by uber and experience well with the drive and the driver too well maintained.,5,0,4.556.10005,2024-12-18 14:33:38,,,4.556.10005,5.0,0.4379710257053375,,first time journey by uber and experience well with the drive and the driver too well maintained.,5,0,4.556.10005,2024-12-18 14:33:38,,,4.556.10005,pos,pos,3,0.0
User_58,0.374,0.626,0.0,-0.2006,,Cancellation is very tough,2,0,4.556.10005,2024-12-18 14:32:13,,,4.556.10005,1.0,0.4073520004749298,,Cancellation is very tough,2,0,4.556.10005,2024-12-18 14:32:13,,,4.556.10005,neg,neg,1,1.0
User_59,0.0,1.0,0.0,0.0,,Drivers asking extra money always,4,0,,2024-12-18 14:26:43,,,,5.0,0.2658833861351013,,Drivers asking extra money always,4,0,,2024-12-18 14:26:43,,,,pos,neu,3,1.0
User_60,0.143,0.857,0.0,-0.5423,,"Slab , curse unde soferii sunt la 20-30 mi ute departare iar altii stau in zona sa creasca tariu . Mizerie de aplicatie a devenit",1,0,4.556.10005,2024-12-18 14:26:30,,,4.556.10005,1.0,0.4986194372177124,,"Slab , curse unde soferii sunt la 20-30 mi ute departare iar altii stau in zona sa creasca tariu . Mizerie de aplicatie a devenit",1,0,4.556.10005,2024-12-18 14:26:30,,,4.556.10005,neg,neg,1,0.0
User_61,0.0,0.0,1.0,0.4404,,Good,5,0,4.556.10005,2024-12-18 14:25:59,,,4.556.10005,4.0,0.49696317315101624,,Good,5,0,4.556.10005,2024-12-18 14:25:59,,,4.556.10005,pos,pos,3,1.0
User_62,0.0,0.738,0.262,0.8834,,Indeed great service and sky high trust. As we left cab we received a call that our one bag has left in his car. He returned it after 15 minutes of traffic. Thanks.,5,0,4.556.10005,2024-12-18 14:25:51,,,4.556.10005,1.0,0.3173717260360718,,Indeed great service and sky high trust. As we left cab we received a call that our one bag has left in his car. He returned it after 15 minutes of traffic. Thanks.,5,0,4.556.10005,2024-12-18 14:25:51,,,4.556.10005,neg,pos,3,4.0
User_63,0.0,0.372,0.628,0.8155,,Very Nice and easy to book and supportive,5,0,,2024-12-18 14:24:51,,,,5.0,0.6796200275421143,,Very Nice and easy to book and supportive,5,0,,2024-12-18 14:24:51,,,,pos,pos,3,0.0
User_64,0.0,0.0,1.0,0.4404,,Good,5,0,,2024-12-18 14:21:52,,,,4.0,0.49696317315101624,,Good,5,0,,2024-12-18 14:21:52,,,,pos,pos,3,1.0
User_65,0.0,0.565,0.435,0.4728,,"I booked uber auto, nice experience",5,0,4.556.10005,2024-12-18 14:20:35,,,4.556.10005,5.0,0.519558846950531,,"I booked uber auto, nice experience",5,0,4.556.10005,2024-12-18 14:20:35,,,4.556.10005,pos,pos,3,0.0
User_66,0.0,0.263,0.737,0.4215,,Nice ride,4,0,4.556.10005,2024-12-18 14:16:58,,,4.556.10005,4.0,0.4509088397026062,,Nice ride,4,0,4.556.10005,2024-12-18 14:16:58,,,4.556.10005,pos,pos,3,0.0
User_67,0.0,0.213,0.787,0.5719,,Excellent experience,5,0,4.556.10005,2024-12-18 14:15:24,,,4.556.10005,5.0,0.8066976070404053,,Excellent experience,5,0,4.556.10005,2024-12-18 14:15:24,,,4.556.10005,pos,pos,3,0.0
User_68,0.0,0.508,0.492,0.4404,,Good app in india,5,0,4.556.10005,2024-12-18 14:07:22,,,4.556.10005,4.0,0.4652501046657562,,Good app in india,5,0,4.556.10005,2024-12-18 14:07:22,,,4.556.10005,pos,pos,3,1.0
User_69,0.0,1.0,0.0,0.0,,المنقذ ♥️!,5,0,4.556.10005,2024-12-18 14:07:06,,,4.556.10005,5.0,0.5801661610603333,,المنقذ ♥️!,5,0,4.556.10005,2024-12-18 14:07:06,,,4.556.10005,pos,neu,3,0.0
User_70,0.0,0.488,0.512,0.6369,,Rapido is the best app,5,0,4.554.10001,2024-12-18 14:03:50,,,4.554.10001,5.0,0.8125899434089661,,Rapido is the best app,5,0,4.554.10001,2024-12-18 14:03:50,,,4.554.10001,pos,pos,3,0.0
User_71,0.0,0.838,0.162,0.4703,,Rates are actually too high 😔 sometimes I feel like being a regular customer means nothing to Uber all they want is to change high price..,3,0,4.556.10005,2024-12-18 13:56:04,,,4.556.10005,2.0,0.4860655665397644,,Rates are actually too high 😔 sometimes I feel like being a regular customer means nothing to Uber all they want is to change high price..,3,0,4.556.10005,2024-12-18 13:56:04,,,4.556.10005,neg,pos,3,1.0
User_72,0.0,0.787,0.213,0.8586,,"Quick pickup from the River Rock casino back to my girl's place in a very nice Tesla by a very good driver. I would reccommend Uber to anybody. Affordable, fast, friendly and legit less than half of what a taxi would cost.",5,0,4.556.10005,2024-12-18 13:51:27,,,4.556.10005,5.0,0.6056873798370361,,"Quick pickup from the River Rock casino back to my girl's place in a very nice Tesla by a very good driver. I would reccommend Uber to anybody. Affordable, fast, friendly and legit less than half of what a taxi would cost.",5,0,4.556.10005,2024-12-18 13:51:27,,,4.556.10005,pos,pos,3,0.0
User_73,0.0,0.0,1.0,0.4404,,Good,5,0,4.556.10005,2024-12-18 13:47:38,,,4.556.10005,4.0,0.49696317315101624,,Good,5,0,4.556.10005,2024-12-18 13:47:38,,,4.556.10005,pos,pos,3,1.0
User_74,0.262,0.738,0.0,-0.69,,Shocking that it goes up so high in price! Should never be as expensive as it offers. Shocking,1,0,4.556.10005,2024-12-18 13:41:42,,,4.556.10005,2.0,0.39210546016693115,,Shocking that it goes up so high in price! Should never be as expensive as it offers. Shocking,1,0,4.556.10005,2024-12-18 13:41:42,,,4.556.10005,neg,neg,1,1.0
User_75,0.0,0.196,0.804,0.6249,,Awesome uber,5,0,4.556.10005,2024-12-18 13:39:42,,,4.556.10005,5.0,0.7342830300331116,,Awesome uber,5,0,4.556.10005,2024-12-18 13:39:42,,,4.556.10005,pos,pos,3,0.0
User_76,0.0,1.0,0.0,0.0,,Use full app,5,0,,2024-12-18 13:32:44,,,,5.0,0.46829214692115784,,Use full app,5,0,,2024-12-18 13:32:44,,,,pos,neu,3,0.0
User_77,0.0,0.408,0.592,0.4404,,"Better than ola,",5,0,4.555.10003,2024-12-18 13:31:33,,,4.555.10003,5.0,0.577014148235321,,"Better than ola,",5,0,4.555.10003,2024-12-18 13:31:33,,,4.555.10003,pos,pos,3,0.0
User_78,0.0,0.286,0.714,0.3612,,I like it,5,0,,2024-12-18 13:29:59,,,,4.0,0.518115758895874,,I like it,5,0,,2024-12-18 13:29:59,,,,pos,pos,3,1.0
User_79,0.0,0.256,0.744,0.4404,,Verry good,5,0,4.556.10005,2024-12-18 13:22:16,,,4.556.10005,4.0,0.46113884449005127,,Verry good,5,0,4.556.10005,2024-12-18 13:22:16,,,4.556.10005,pos,pos,3,1.0
User_80,0.048,0.805,0.146,0.6542,,"Does what it promises, but when you add card payment, uber gets shady. I get deducted a random amount during a random day. Sometimes, a huge amount is deducted and credited back to my card, but they always send a few cents short. Happened numerous times already (eg: charges 20.50 and returns 20.05)",2,0,4.554.10001,2024-12-18 13:20:26,,,4.554.10001,3.0,0.5936317443847656,,"Does what it promises, but when you add card payment, uber gets shady. I get deducted a random amount during a random day. Sometimes, a huge amount is deducted and credited back to my card, but they always send a few cents short. Happened numerous times already (eg: charges 20.50 and returns 20.05)",2,0,4.554.10001,2024-12-18 13:20:26,,,4.554.10001,neu,pos,3,1.0
User_81,0.536,0.119,0.345,-0.1531,,Quick & Easy No Delay,5,0,4.556.10005,2024-12-18 13:16:44,,,4.556.10005,5.0,0.6723775863647461,,Quick & Easy No Delay,5,0,4.556.10005,2024-12-18 13:16:44,,,4.556.10005,pos,neg,1,0.0
User_82,0.0,0.238,0.762,0.4927,,Very good 👍,5,0,4.556.10005,2024-12-18 13:10:43,,,4.556.10005,5.0,0.6080963015556335,,Very good 👍,5,0,4.556.10005,2024-12-18 13:10:43,,,4.556.10005,pos,pos,3,0.0
User_83,0.0,0.408,0.592,0.4404,,It is good,5,0,4.556.10005,2024-12-18 13:09:57,,,4.556.10005,4.0,0.47131893038749695,,It is good,5,0,4.556.10005,2024-12-18 13:09:57,,,4.556.10005,pos,pos,3,1.0
User_84,0.0,1.0,0.0,0.0,,timely pick,5,0,4.556.10005,2024-12-18 13:01:57,,,4.556.10005,5.0,0.42095404863357544,,timely pick,5,0,4.556.10005,2024-12-18 13:01:57,,,4.556.10005,pos,neu,3,0.0
User_85,0.0,1.0,0.0,0.0,,Affordable price and fast pickup in my locality and polite conversation with passenger,5,0,4.556.10005,2024-12-18 13:01:50,,,4.556.10005,5.0,0.5012521147727966,,Affordable price and fast pickup in my locality and polite conversation with passenger,5,0,4.556.10005,2024-12-18 13:01:50,,,4.556.10005,pos,neu,3,0.0
User_86,0.0,1.0,0.0,0.0,,"I have booked ride of rupees 68 and he has taken different route and told 130 but on screen it was 87rupees and my grandparents were travelling and it has not happened one time now it has happened more then 10 times same problem,so I am requesting uber to fix this faster otherwise we have to take some action.",1,0,,2024-12-18 13:01:34,,,,2.0,0.38081610202789307,,"I have booked ride of rupees 68 and he has taken different route and told 130 but on screen it was 87rupees and my grandparents were travelling and it has not happened one time now it has happened more then 10 times same problem,so I am requesting uber to fix this faster otherwise we have to take some action.",1,0,,2024-12-18 13:01:34,,,,neg,neu,3,1.0
User_87,0.0,1.0,0.0,0.0,,كانت هذه أول رحلة لي في أوبر وأشعر بالرضا جدآ 💙,5,0,4.556.10005,2024-12-18 12:57:27,,,4.556.10005,4.0,0.23508448898792267,,كانت هذه أول رحلة لي في أوبر وأشعر بالرضا جدآ 💙,5,0,4.556.10005,2024-12-18 12:57:27,,,4.556.10005,pos,neu,3,1.0
User_88,0.0,0.0,1.0,0.5994,,Super,5,0,4.556.10005,2024-12-18 12:57:22,,,4.556.10005,5.0,0.7829088568687439,,Super,5,0,4.556.10005,2024-12-18 12:57:22,,,4.556.10005,pos,pos,3,0.0
